"function_name","category","version_marker","tier","tier_label","description"
"SLN","Financial functions","","1","regular_pure_or_low_risk","Returns the straight-line depreciation of an asset for one period"
"SLOPE","Statistical functions","","1","regular_pure_or_low_risk","Returns the slope of the linear regression line"
"SMALL","Statistical functions","","1","regular_pure_or_low_risk","Returns the k-th smallest value in a data set"
"SQRT","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns a positive square root"
"SQRTPI","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the square root of (number * pi)"
"STANDARDIZE","Statistical functions","","1","regular_pure_or_low_risk","Returns a normalized value"
"STDEV","Compatibility","","2","baseline_context","Estimates standard deviation based on a sample"
"STDEV.P","Statistical functions","","1","regular_pure_or_low_risk","Calculates standard deviation based on the entire population"
"STDEV.S","Statistical functions","","1","regular_pure_or_low_risk","Estimates standard deviation based on a sample"
"STDEVA","Statistical functions","","1","regular_pure_or_low_risk","Estimates standard deviation based on a sample, including numbers, text, and logical values"
"STDEVP","Compatibility","","2","baseline_context","Calculates standard deviation based on the entire population"
"STDEVPA","Statistical functions","","1","regular_pure_or_low_risk","Calculates standard deviation based on the entire population, including numbers, text, and logical values"
"STEYX","Statistical functions","","1","regular_pure_or_low_risk","Returns the standard error of the predicted y-value for each x in the regression"
"SUBSTITUTE","Text functions","","2","baseline_context","Substitutes new text for old text in a text string"
"SUBTOTAL","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns a subtotal in a list or database"
"SUMIFS","Our 10 featured functions","","1","regular_pure_or_low_risk","Use this function when you need to add the cells in a range that meet multiple criteria."
"SUMPRODUCT","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the sum of the products of corresponding array components"
"SUMSQ","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the sum of the squares of the arguments"
"SUMX2MY2","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the sum of the difference of squares of corresponding values in two arrays"
"SUMX2PY2","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the sum of the sum of squares of corresponding values in two arrays"
